model_id,checkpoint_stage,kd_steps,benchmark,metric,value,unit,numerator,denominator,sample_count,repetition,evaluation_contract_id,row_selection_identity_sha256,row_manifest_sha256,evaluator_id,condition_id,runtime_profile,runtime_adapter,prompt_contract,timestamp_policy
Qwen/Qwen3.5-4B,teacher,,realworldqa,accuracy,0.65625,fraction,,64,64,1,qwen35-vlm-short-v1-exact-rows-v1,eaf88430a43e05da2de74775957a3b4707601920affa95cd5074864bba3abaed,,lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,generic-vllm-default,short-v1,vllm,generic-normalized-no-system,not-applicable-image-only
Qwen/Qwen3.5-4B,teacher,,mmmu_val,accuracy,0.35833,fraction,,120,120,1,qwen35-vlm-short-v1-exact-rows-v1,eaf88430a43e05da2de74775957a3b4707601920affa95cd5074864bba3abaed,,lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,generic-vllm-default,short-v1,vllm,generic-normalized-no-system,not-applicable-image-only
Qwen/Qwen3.5-4B,teacher,,mvbench,accuracy,0.2,fraction,,160,160,1,qwen35-vlm-short-v1-exact-rows-v1,eaf88430a43e05da2de74775957a3b4707601920affa95cd5074864bba3abaed,,lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,generic-vllm-default,short-v1,vllm,generic-normalized-no-system,video-timestamps-omitted
Qwen/Qwen3.5-4B,teacher,,realworldqa,accuracy,0.578125,fraction,,64,64,1,qwen35-vlm-short-v1-exact-rows-v1,eaf88430a43e05da2de74775957a3b4707601920affa95cd5074864bba3abaed,2b787b681463c474aacffe1d56c9c69f3c2f9d670d4576bdbdadc927e96edd50,lmms-eval@88b23e2bfa16a1edbc16e9e238ed82130b3a4f56,qwen-native-default,short-native-v1,qwen3_5,qwen-chat-template-default-system,not-applicable-image-only
Qwen/Qwen3.5-4B,teacher,,mmmu_val,accuracy,0.35833,fraction,,120,120,1,qwen35-vlm-short-v1-exact-rows-v1,eaf88430a43e05da2de74775957a3b4707601920affa95cd5074864bba3abaed,2b787b681463c474aacffe1d56c9c69f3c2f9d670d4576bdbdadc927e96edd50,lmms-eval@88b23e2bfa16a1edbc16e9e238ed82130b3a4f56,qwen-native-default,short-native-v1,qwen3_5,qwen-chat-template-default-system,not-applicable-image-only
Qwen/Qwen3.5-4B,teacher,,mvbench,accuracy,0.66875,fraction,,160,160,1,qwen35-vlm-short-v1-exact-rows-v1,eaf88430a43e05da2de74775957a3b4707601920affa95cd5074864bba3abaed,2b787b681463c474aacffe1d56c9c69f3c2f9d670d4576bdbdadc927e96edd50,lmms-eval@88b23e2bfa16a1edbc16e9e238ed82130b3a4f56,qwen-native-default,short-native-v1,qwen3_5,qwen-chat-template-default-system,video-frame-timestamps-included
Qwen/Qwen3.5-4B,teacher,,realworldqa,accuracy,0.578125,fraction,,64,64,1,qwen35-vlm-short-v1-exact-rows-v1,eaf88430a43e05da2de74775957a3b4707601920affa95cd5074864bba3abaed,2b787b681463c474aacffe1d56c9c69f3c2f9d670d4576bdbdadc927e96edd50,lmms-eval@88b23e2bfa16a1edbc16e9e238ed82130b3a4f56,qwen-native-empty-system,,qwen3_5,qwen-chat-template-explicit-empty-system,not-applicable-image-only
