request_count,solution_id,gpu_slot,image_count,concurrency,measurement_seed,warmup_seed,output_token_throughput,request_latency_mean_ms,ttft_mean_ms,tpot_mean_ms,result_fingerprint
64,student-smoke-ffn2048-p90,0,1,1,2001,102001,96.31486836169816,824.7575025,94.20296090625,9.24752584295886,aiperf_measurement_abe8bbb5f86a09bf9cbb4cbfd77860fbb47261a9538b75868241600fd3cd2a2b
64,student-smoke-ffn2048-p90,1,1,1,1005,101005,94.96938317882525,836.65975221875,89.83097740625,9.453528795094936,aiperf_measurement_05efad1c61b25db98821d6ccd1ce30dd14ea5256ffc9f82acd8df57adc8498e1
64,student-smoke-ffn2048-p90,2,1,1,1007,101007,94.30209092364632,842.8269621718749,92.033993046875,9.50370846993671,aiperf_measurement_6cc1c717334a3ce4c49c82dff1d2cc698a8f58f1a10731685c3b597169289835
64,student-smoke-ffn2048-p90,3,1,1,2002,102002,95.21494841683287,834.600298671875,92.4698095,9.394056824960444,aiperf_measurement_cbaeccfbc1f3ce842b355ef4488157f446ff7952c90b0e15740c6acde2f2466c
64,student-smoke-ffn2048-p90,4,1,1,2003,102003,95.15880018872744,835.1722062343749,92.42683695312499,9.401840117484179,aiperf_measurement_f163ae3f9f0d35b1c592ef4c59896d2e8bb9e3ad361a74112cfe35648368c5f5
64,student-smoke-ffn2048-p90,5,1,1,1004,101004,94.14073108771646,844.076733953125,91.982088875,9.520185380735759,aiperf_measurement_427851bfa9a1c384880c3e0094fcf305c39608e4b9cfdc87a82f4143ed5903e9
64,student-smoke-ffn2048-p90,6,1,1,1006,101006,94.89894389724263,837.34495959375,92.4501176875,9.429048631724681,aiperf_measurement_c318be82faf79df00307162864f741df7d164ffdf99efc0f88c03c035e891c11
64,student-smoke-ffn2048-p90,7,1,1,2000,102000,94.86068689405498,837.99620021875,91.64026184375,9.447543523734176,aiperf_measurement_9dfb3e061ba7f06953959e3c9459ac9378bf863bca946ab776bfb30839e1cf00
64,teacher,0,1,1,1001,101001,93.65738748917278,847.896625953125,88.762422375,9.609293716178797,aiperf_measurement_a4097ca242194d487b633a6862ad03cdaa57dbaab2eeb0e21bcffddaeaebdc63
64,teacher,1,1,1,2005,102005,93.60254669017753,848.9752934375,89.222661421875,9.617121924248417,aiperf_measurement_2d4649d5d0fc496887f73ec2d241c8d01217ae27688d29d1c0eae4822bce983e
64,teacher,2,1,1,2007,102007,92.98442457387837,854.4730764687499,92.177323625,9.649313327136076,aiperf_measurement_fa16a816b788edacbd6f3f23f9f3438a4d547d2117ca67414855efd8c58e397e
64,teacher,3,1,1,1002,101002,95.41408378063785,832.6697752499999,92.063326859375,9.374765169501579,aiperf_measurement_b3bd95805217c1a73c72a1147dd0a5ecbf6608ecd57e88bf4075173ff59a6d76
64,teacher,4,1,1,1003,101003,94.0424677485378,844.94446046875,92.71463590625,9.521896513449366,aiperf_measurement_f226756d540e578f8833793eeaeb98022f391a171b67e965644a60c1e471ac31
64,teacher,5,1,1,2004,102004,93.52624000235504,849.1372279843749,90.366611046875,9.604691353639241,aiperf_measurement_ddbac87672de79b0e94490dec0388e6e343d02de9341335f3fd3f2a0cbad080b
64,teacher,6,1,1,2006,102006,93.71922336897192,848.038077734375,93.85827410937499,9.546579792721518,aiperf_measurement_8c5d147b32706da0fbd8bf6539af5f08fb56177a724179fbb9c52b96d984ab37
64,teacher,7,1,1,1000,101000,93.32147671577401,852.17413121875,88.840644625,9.66244919738924,aiperf_measurement_5c65fa73556521d6b10ef2ee1f67ccc1d87721d59c941e4744e00da2ef57391a
64,student-smoke-ffn2048-p90,0,1,4,2001,102001,355.7341168142694,893.813615859375,114.148197671875,9.869182508702531,aiperf_measurement_4be1f8d554448a7d87dac4627f86362de3c75171e15bc7eb13132af52d5fe643
64,student-smoke-ffn2048-p90,1,1,4,1005,101005,346.4726845289434,916.544734515625,119.16494540625,10.093415052017406,aiperf_measurement_8e1adeb22ecb5bdeffc31a406c6080fd96dfa197ca61832cc2d0c341d7efdd83
64,student-smoke-ffn2048-p90,2,1,4,1007,101007,355.0077815070883,894.374870015625,111.572707046875,9.908888138844937,aiperf_measurement_b34f2d13dc03b75b635849a8f15d10ed14e07c00037a7dcf5d2dfa2541be3be8
64,student-smoke-ffn2048-p90,3,1,4,2002,102002,355.2157974915149,894.1678154374999,113.622386015625,9.880321891416138,aiperf_measurement_d0e04cf1e7f3083e63ceaf48e045eef013fc4466f590edbf7cb3f19eaec0077a
64,student-smoke-ffn2048-p90,4,1,4,2003,102003,354.2963466534376,896.49374296875,112.99476357812499,9.917708599881328,aiperf_measurement_7d3985a64660060b21623d319302760f5ec62e22dff82852b008d48cd663b006
64,student-smoke-ffn2048-p90,5,1,4,1004,101004,356.0665547291986,892.0464398437499,110.869602875,9.888314392009493,aiperf_measurement_34b4c2f95a4480397491dd3db8ce65b0106ed22d589cf77ff5323f099a0c330d
64,student-smoke-ffn2048-p90,6,1,4,1006,101006,348.3610818015893,911.6016729375,118.01732812499999,10.045371453322785,aiperf_measurement_60a32da5e29bb5377f51f0737e75ea28cf3f3b2010488554bf47555aa8d5595e
64,student-smoke-ffn2048-p90,7,1,4,2000,102000,354.9921362453984,895.5126009999999,110.19287453125,9.94075603125,aiperf_measurement_b45fa25b847384e848ada3fa69f34697d3a85ec384025febc90990b9883d1c6c
64,teacher,0,1,4,1001,101001,347.3467363315647,914.045749953125,115.48412323437499,10.108375021756329,aiperf_measurement_e2c19fa203ed8e0d583a00a0d27498d74063d7f9f43ec213515a1445c7c8e059
64,teacher,1,1,4,2005,102005,333.1094262421006,954.4934237812499,134.16155103124999,10.383947756329112,aiperf_measurement_723eb26ef5ab075550f026c1711dccbfac1f86dfc537fdc8151c3c2e41481867
64,teacher,2,1,4,2007,102007,350.8126420378764,905.63029409375,114.3370655,10.016369982199366,aiperf_measurement_195a64dfc70879af568fb85aff0d5bb4d8ee1d50a64a72f5a8c82c444f3e9786
64,teacher,3,1,4,1002,101002,351.61744944935236,902.5217575468749,113.113211640625,9.992513239319619,aiperf_measurement_8a47676087ac561bc9688fa4040483385ff82b4a2fe8059384c80ed9c461a72e
64,teacher,4,1,4,1003,101003,353.4502838961383,898.909765984375,115.71001606249999,9.913920885087023,aiperf_measurement_61e3a50de9f10aa2c0b72111028670a3d1bd4993f8012a11a8eb4ee99129c9df
64,teacher,5,1,4,2004,102004,346.62438765344984,915.973455796875,114.580159140625,10.144218945015822,aiperf_measurement_3f3ef2d62ef4e05b2ef9ee0a5952ef9e6c932d84c99e54594714bbfaf26c80c4
64,teacher,6,1,4,2006,102006,350.3210287477683,906.0980683593749,111.520560859375,10.057943132911394,aiperf_measurement_0cc0ded0cc371799fd537dd74c14e71e0e7b479bfd8ea540ec03cd8c6ccff2a3
64,teacher,7,1,4,1000,101000,352.1728828743951,901.6232538124999,110.62832221875,10.01259407080696,aiperf_measurement_b66b3a9fc220c043d3656d7eaf642e43df37f99a04c6b1a9bc4d2816c8d28b5b
64,student-smoke-ffn2048-p90,0,6,1,2001,102001,71.21108780706503,1096.629132234375,349.053421625,9.46298367859968,aiperf_measurement_45c3a647ca164cb1f96d656b1a95eaa6151b549dd43feabefcd37402eae4165b
64,student-smoke-ffn2048-p90,1,6,1,1005,101005,69.21171970836465,1130.2833120625,358.795298,9.765671064082278,aiperf_measurement_832e28c7e4964112a9ab0fb6628ae928a44ff5e70f77d74555c4c844eaea7bf7
64,student-smoke-ffn2048-p90,2,6,1,1007,101007,68.89475160194318,1135.51492084375,355.991521890625,9.867384796875,aiperf_measurement_ac46b368036e83a56fc6dfe50730c077f3a1d72a17f6e3f4dc32c583ac245fc8
64,student-smoke-ffn2048-p90,3,6,1,2002,102002,70.00607005378033,1115.8557334375,354.79419853125,9.633690315268986,aiperf_measurement_c592d92b61ce7def12b85b5d64c16346a799770fafa1eb6c9aa31256d1c68fb1
64,student-smoke-ffn2048-p90,4,6,1,2003,102003,69.02617931567133,1132.573164984375,362.209628796875,9.751437166930378,aiperf_measurement_cd4c4a0b0b1d642f147d99bfba7bf0179a21ac89758716430404c1f64da54691
64,student-smoke-ffn2048-p90,5,6,1,1004,101004,70.4573382901406,1109.7115889375,341.5370241875,9.723728667721518,aiperf_measurement_48eab0de1b01cb2d231f7cddd2fd5750a7efa8458d4325565e19dbba391ad592
64,student-smoke-ffn2048-p90,6,6,1,1006,101006,69.59658920942083,1124.35050640625,347.8706939375,9.828858385680379,aiperf_measurement_3ad9ebad990dc77fd18c131b02233fe70ef6ae30d775b6a247c5e0f86b0505f2
64,student-smoke-ffn2048-p90,7,6,1,2000,102000,70.87349587539326,1103.441316390625,344.75591520312497,9.603612673259493,aiperf_measurement_441b661c1c1280af09c46d3f928bfcd4b5657ef483641b59394b6fa28f11024b
64,teacher,0,6,1,1001,101001,69.42045405448171,1127.422445609375,354.757006796875,9.78057517484177,aiperf_measurement_212049a775df55c23cd0cfe732d2d7f5e257bccefdf02b735d5a0a7956123def
